Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Arcobacter] porcinus	[Arcobacter] porcinus	1.1044859349318819	-0.044120684654432696	1.0801428396915187	-0.040847083397815474	0.9674178035350209	NA
[Bacillus] caldolyticus	[Bacillus] caldolyticus	1.0567425714244252	-0.04412102002637891	1.0788587561726435	-0.04089601143239781	0.9673787972049641	NA
[Bacillus] selenitireducens	[Bacillus] selenitireducens	1.1042949204645547	-0.04412077025563791	1.08024492473161	-0.040843302519194755	0.9674208177243188	NA
[Brevibacterium] frigoritolerans	[Brevibacterium] frigoritolerans	1.1605230944374076	0.08136507430871588	1.0776363456898734	0.0755032758816502	0.9398142912021556	NA
[Clostridium] cellulosi	[Clostridium] cellulosi	1.351055867119534	0.19673888560832348	1.0829813768476624	0.18166414475287673	0.8558463060378245	NA
[Clostridium] hiranonis	[Clostridium] hiranonis	2.388892157177306	0.7807566611819506	1.2564201238801356	0.6214136866661936	0.5343274690605073	0.6397734971103987
[Clostridium] hylemonae	[Clostridium] hylemonae	1.3982254817490116	0.30373793973814034	1.0796353501703084	0.2813338222856697	0.7784543710159308	NA
[Clostridium] innocuum	[Clostridium] innocuum	1.1923095634942888	0.14024947457553893	1.0787636480728573	0.13000945557081545	0.8965589457235552	NA
[Clostridium] scindens	[Clostridium] scindens	1.6272000904855313	0.2510738910195552	1.1949385900675675	0.21011447207957212	0.8335783305106502	NA
[Clostridium] ultunense	[Clostridium] ultunense	1.3277569117717885	0.1968826742466926	1.0797536263833964	0.18234036861366737	0.8553156200987369	NA
[Enterobacter] lignolyticus	[Enterobacter] lignolyticus	1.0886145607770985	-0.044120876798872805	1.079553441018713	-0.04086956247134783	0.9673998827940188	NA
[Eubacterium] cellulosolvens	[Eubacterium] cellulosolvens	1.9868300035887392	0.7810328067828972	1.1074220265794827	0.7052711505073539	0.48064151041570174	0.618671251259302
[Eubacterium] minutum	[Eubacterium] minutum	1.3430353926190386	0.4032517265272573	1.0804559237997553	0.373223671271197	0.7089819798285574	NA
[Eubacterium] sulci	[Eubacterium] sulci	1.7306010091332777	-0.2816640445901057	1.0997699373962782	-0.25611178757709047	0.7978645202969281	NA
[Haemophilus] ducreyi	[Haemophilus] ducreyi	1.3599809948896684	0.3036396953254161	1.077480192770338	0.28180536158601677	0.7780927595374441	NA
[Mannheimia] succiniciproducens	[Mannheimia] succiniciproducens	1.0647981839886644	-0.044120973643185075	1.0790360757327846	-0.04088924794587805	0.9673841891763036	NA
[Mycobacterium] stephanolepidis	[Mycobacterium] stephanolepidis	1.1293017629985895	-0.04412067292871423	1.0806192221340682	-0.040829065433041455	0.9674321678079395	NA
[Pasteurella] aerogenes	[Pasteurella] aerogenes	1.1373260140038772	0.020024824398982108	1.0801289331592423	0.018539290805230074	0.9852086334149828	NA
[Polyangium] brachysporum	[Polyangium] brachysporum	3.7330105288229793	1.4965895723289224	1.2152674605228537	1.2314898744059464	0.21813970143241296	0.5950749480807963
[Pseudomonas] mesoacidophila	[Pseudomonas] mesoacidophila	1.0887118641919074	0.14025934978633944	1.0743630008254512	0.13055117281456624	0.8961303704757856	NA
[Ruminococcus] gnavus	[Ruminococcus] gnavus	2.105713535572858	1.606724792364448	1.247231833881484	1.2882326675099316	0.1976649835844943	0.5950749480807963
Acaryochloris marina	Acaryochloris marina	1.433469184690523	0.08139964064483586	1.091807889552014	0.0745549115588782	0.9405688495910811	NA
Acetoanaerobium sticklandii	Acetoanaerobium sticklandii	1.2887571969057388	0.14023469284398174	1.0797928517170545	0.12987184775393235	0.8966678178555596	NA
Acetobacter aceti	Acetobacter aceti	1.1210294157349892	0.02000816407420027	1.0787237444901885	0.018547996348830025	0.9852016885903007	NA
Acetobacter ascendens	Acetobacter ascendens	1.0567425714244252	-0.04412102002637891	1.0788587561726435	-0.04089601143239781	0.9673787972049641	NA
Acetobacter ghanensis	Acetobacter ghanensis	1.1841928523280616	0.08137528032742497	1.078205885829625	0.07547285856709157	0.939838491656978	NA
Acetobacter orientalis	Acetobacter orientalis	1.0968083310036896	-0.04412083257787758	1.0797229201826257	-0.040863106407350254	0.967405029688207	NA
Acetobacter oryzoeni	Acetobacter oryzoeni	1.072710064701333	-0.04412096697748802	1.0792082100257305	-0.040882719912255006	0.9673893934418346	NA
Acetobacter pasteurianus	Acetobacter pasteurianus	2.0203776389701606	1.0196298909803725	1.083741860415919	0.9408420291055828	0.34678581902485933	0.6090232226329966
Acetobacter persici	Acetobacter persici	1.547330686583261	0.19686613799901068	1.0841765464017692	0.18158125505701256	0.8559113605783433	NA
Acetobacter sp. KACC 21233	Acetobacter sp. KACC 21233	1.1855876852681297	0.14019764226105272	1.076451395207293	0.13024056904497278	0.8963760984550972	NA
Acetobacter tropicalis	Acetobacter tropicalis	1.1210196835893929	0.020002476624929072	1.0792804393034086	0.018533159590883638	0.9852135245758955	NA
Acetobacteraceae bacterium	Acetobacteraceae bacterium	1.3576714065330424	0.020028947528193813	1.0899052915994512	0.01837677794811057	0.9853382778277235	NA
Acetobacterium sp. KB-1	Acetobacterium sp. KB-1	1.2158812568824748	0.14028078789119164	1.0777542820913948	0.1301602695736686	0.8964396273988653	NA
Acetobacterium woodii	Acetobacterium woodii	1.2486625264535773	0.08147310599668262	1.0802335890924308	0.07542174842492452	0.9398791557494344	NA
Acetohalobium arabaticum	Acetohalobium arabaticum	1.2321353284554408	0.30370595419233054	1.07367026502077	0.2828670627163689	0.7772787439813769	NA
Acetomicrobium mobile	Acetomicrobium mobile	1.1204212148652073	-0.04412071381322736	1.0805983654792237	-0.040829891310876366	0.9674315094017915	NA
Acholeplasma axanthum	Acholeplasma axanthum	1.1842756989084824	0.08133914263177923	1.0786572507005607	0.07540777441485838	0.9398902737351831	NA
Acholeplasma brassicae	Acholeplasma brassicae	1.2885170092166855	0.19696860462508367	1.0775446489459677	0.18279391468163697	0.8549597235461385	NA
Acholeplasma hippikon	Acholeplasma hippikon	1.1914692831606108	-0.04412006118490868	1.0833824264837821	-0.04072436482849774	0.9675156373807999	NA
Acholeplasma laidlawii	Acholeplasma laidlawii	1.2883315186554825	0.08115990367102745	1.1286216552129693	0.07191063834027948	0.9426730237990013	NA
Acholeplasma oculi	Acholeplasma oculi	1.0884796710251639	-0.044120818350986454	1.0796303861360907	-0.04086659556599854	0.9674022480659269	NA
Acholeplasma palmae	Acholeplasma palmae	1.1606733501056208	0.08143106338783003	1.078139344203582	0.07552925679378011	0.9397936204571966	NA
Achromobacter denitrificans	Achromobacter denitrificans	1.313266807653485	0.4505411111881762	1.075173647934273	0.419040321583215	0.6751866643028319	NA
Achromobacter insolitus	Achromobacter insolitus	1.2414667587930637	0.08136690658954585	1.0795282252147436	0.07537265324707934	0.9399182168498461	NA
Achromobacter sp. AONIH1	Achromobacter sp. AONIH1	1.2335495642929055	0.01997210888997855	1.0815164878034256	0.018466763211850954	0.9852664921567942	NA
Achromobacter sp. B7	Achromobacter sp. B7	1.128299958545786	-0.044120669178319846	1.0804932746944091	-0.040833821192268215	0.9674283764229067	NA
Achromobacter sp. MFA1 R4	Achromobacter sp. MFA1 R4	1.088827712827064	-0.04412085259262065	1.0796462007121077	-0.04086602867079941	0.9674027000053144	NA
Achromobacter spanius	Achromobacter spanius	1.4484611238079026	0.7057783004034316	1.0792127585842126	0.653975126581455	0.51312783075034	NA
Achromobacter xylosoxidans	Achromobacter xylosoxidans	3.5152943230107336	1.8857438235540485	1.2278236566445233	1.5358425563386948	0.12457699953407345	0.5482259288349984
Acidaminococcus fermentans	Acidaminococcus fermentans	1.2803640326943617	0.4503840244647205	1.0737664290803481	0.41944319757739323	0.6748922595228323	NA
Acidaminococcus intestini	Acidaminococcus intestini	1.2484558597895459	0.25130276379525485	1.075154484039203	0.23373642348692622	0.8151896090114588	NA
Acidibrevibacterium fodinaquatile	Acidibrevibacterium fodinaquatile	1.7345489510762004	0.35441019701007853	1.089026306601977	0.3254376821400424	0.7448498400591185	NA
Acidiferrobacter sp. SPIII_3	Acidiferrobacter sp. SPIII_3	1.4808265755486865	0.49637626587204237	1.0764956325371229	0.46110383625260537	0.6447241095536707	NA
Acidihalobacter ferrooxidans	Acidihalobacter ferrooxidans	1.359439700778635	0.2512849584917579	1.0806370643124878	0.23253409196326977	0.8161232112262622	NA
Acidihalobacter prosperus	Acidihalobacter prosperus	1.2241054843117125	-0.044119977120180676	1.0838380909781715	-0.04070716603100938	0.9675293486659657	NA
Acidimicrobium ferrooxidans	Acidimicrobium ferrooxidans	2.175086787830287	0.2507478687298994	1.2013186534881686	0.2087271915755439	0.8346612118410284	0.8481018110655216
Acidiphilium cryptum	Acidiphilium cryptum	1.0648660252749558	-0.044121011513710416	1.0790379328815398	-0.04088921266733091	0.9673842173009907	NA
Acidiphilium multivorum	Acidiphilium multivorum	1.0725830908665253	-0.04412092949293739	1.079204940506251	-0.04088280903554836	0.9673893223911367	NA
Acidipropionibacterium acidipropionici	Acidipropionibacterium acidipropionici	1.3454531654054154	0.49624796075196703	1.0763268868498541	0.4610569212893711	0.6447577674523677	NA
Acidipropionibacterium jensenii	Acidipropionibacterium jensenii	1.6998090886667203	0.5837935455578548	1.0808239909820474	0.5401374788390977	0.5891022255938247	NA
Acidipropionibacterium virtanenii	Acidipropionibacterium virtanenii	1.1442960707975947	0.0813634097503234	1.0772555128035814	0.07552842272171187	0.9397942840549387	NA
Acidisarcina polymorpha	Acidisarcina polymorpha	1.446279617351732	0.3037538239122088	1.0856473119774455	0.279790518118576	0.779638226736361	NA
Acidithiobacillus caldus	Acidithiobacillus caldus	1.1125572867655051	-0.04412087943342869	1.0802247814728523	-0.04084416520538556	0.9674201299742217	NA
Acidithiobacillus ferrivorans	Acidithiobacillus ferrivorans	1.129113032367145	0.020005662652018415	1.078513479045238	0.01854929311567675	0.9852006540980297	NA
Acidithiobacillus ferrooxidans	Acidithiobacillus ferrooxidans	1.129040987748354	0.019978329023790643	1.079063915036125	0.01851450015648221	0.9852284100964472	NA
Acidithiobacillus thiooxidans	Acidithiobacillus thiooxidans	1.2174819126743228	0.25134022604696743	1.0749682856861815	0.2338117592804425	0.8151311200027306	NA
Acidobacterium capsulatum	Acidobacterium capsulatum	1.3034196291186377	0.30373799863430284	1.0769523919084256	0.2820347500190426	0.7779168647588954	NA
Acidothermus cellulolyticus	Acidothermus cellulolyticus	1.5981546115470886	0.2512457276227382	1.1298720513895397	0.222366530186981	0.8240285646248565	NA
Acidovorax avenae	Acidovorax avenae	1.566868872473955	0.5837839683599038	1.07898683452622	0.5410482775874107	0.5884743071742959	NA
Acidovorax carolinensis	Acidovorax carolinensis	2.5397082304493006	1.4022423049169312	1.178067077248478	1.1902907160363418	0.23393214848938618	0.5950749480807963
Acidovorax cattleyae	Acidovorax cattleyae	1.1289668587142383	0.019979286587251927	1.0786102565825735	0.018523175044295903	0.9852214897241574	NA
Acidovorax citrulli	Acidovorax citrulli	4.055099665605855	2.15541749060244	1.2152501548281829	1.7736409923824958	0.07612255259550754	0.48675077269980677
Acidovorax ebreus	Acidovorax ebreus	1.3858765799819865	0.1968139360337934	1.0793596509670365	0.18234324014007827	0.8553133667259292	NA
Acidovorax sp. 1608163	Acidovorax sp. 1608163	1.9073435683884026	0.12050633661902897	0.9173406538322716	0.13136487096216995	0.895486676712807	0.9026391262073183
Acidovorax sp. HDW3	Acidovorax sp. HDW3	1.4006161797752192	0.3543415838689291	1.0774944709656198	0.3288569857359716	0.7422637879601099	NA
Acidovorax sp. JS42	Acidovorax sp. JS42	1.2483193221083713	0.08133003317387942	1.0821937523885197	0.07515293171336017	0.940093033443865	NA
Acidovorax sp. KKS102	Acidovorax sp. KKS102	2.257212048190639	0.7904293930639825	1.1200549333238672	0.7057059163324336	0.4803710409635152	0.618671251259302
Acidovorax sp. RAC01	Acidovorax sp. RAC01	1.3527083598676852	0.1968868751235598	1.0806834558690648	0.18218736860853224	0.8554356854925106	NA
Acidovorax sp. T1	Acidovorax sp. T1	1.4270772314101605	0.4504839260934859	1.079822343059678	0.41718337186563403	0.6765442867583242	NA
Acinetobacter baumannii	Acinetobacter baumannii	111.39186966403554	7.427136311153756	1.2232576708995142	6.071604117301192	1.2663881264283581e-9	2.6636363592543137e-7
Acinetobacter baylyi	Acinetobacter baylyi	1.1445845822436778	0.019972204813732516	1.0790712346476263	0.018508699122402696	0.9852330378589887	NA
Acinetobacter bereziniae	Acinetobacter bereziniae	1.4004251381246955	0.3036369023103208	1.0805961715495385	0.2809901703380234	0.7787179391673809	NA
Acinetobacter calcoaceticus	Acinetobacter calcoaceticus	42.73668235377726	4.462212120657767	1.8396981422434315	2.4255131959943683	0.015286759988073068	0.20384446736895026
Acinetobacter chinensis	Acinetobacter chinensis	1.0885704755631154	-0.044120838879343816	1.0795517666140029	-0.0408695907355403	0.9673998602612823	NA
Acinetobacter cumulans	Acinetobacter cumulans	1.446358493402546	0.2512659793475616	1.1086782382465517	0.22663561949674008	0.8207070925256257	NA
Acinetobacter defluvii	Acinetobacter defluvii	1.296726294749175	0.5408658735259829	1.071822166151563	0.5046227728877747	0.6138238118571273	NA
Acinetobacter dispersus	Acinetobacter dispersus	1.2482277038448224	-0.04411996179137545	1.0832211570829278	-0.04073033609331338	0.9675108769505363	NA
Acinetobacter equi	Acinetobacter equi	1.4156354754351146	0.19677073365268336	1.0975600546514146	0.17928015220559188	0.8577177306081023	NA
Acinetobacter guillouiae	Acinetobacter guillouiae	3.8763170563245115	2.690427954988599	1.4847111091337057	1.8120885190644265	0.06997252006729525	0.48675077269980677
Acinetobacter gyllenbergii	Acinetobacter gyllenbergii	1.1208824596627855	0.19684618808877752	1.0738485354036829	0.18330908093549597	0.8545555095695226	NA
Acinetobacter haemolyticus	Acinetobacter haemolyticus	3.317026579027538	2.1347350451679294	1.4340992062520328	1.4885546521896371	0.1366046805252147	0.5670891671803321
Acinetobacter indicus	Acinetobacter indicus	2.2216030771687163	1.050856710336585	1.1150419736016677	0.9424369083992779	0.3459689983935703	0.6090232226329966
Acinetobacter johnsonii	Acinetobacter johnsonii	10.418226504395633	2.545995907642798	1.4391078165158069	1.7691488284782262	0.07686904114934728	0.48675077269980677
Acinetobacter junii	Acinetobacter junii	5.0872368912166905	2.728054429829891	1.5542866135522975	1.755181062516498	0.07922834207391888	0.4883852473637227
Acinetobacter lactucae	Acinetobacter lactucae	1.2497355262100496	0.30382658786390065	1.0755254918146158	0.28249129395463	0.7775668212799183	NA
Acinetobacter larvae	Acinetobacter larvae	1.2414228138972785	0.08140914518024045	1.0805149805051988	0.07534291208269718	0.9399418795823408	NA
Acinetobacter lwoffii	Acinetobacter lwoffii	2.5772440472515283	1.682371073998879	1.2445079693980021	1.3518363203513126	0.1764276823789278	0.5915189033190117
Acinetobacter nosocomialis	Acinetobacter nosocomialis	1.4330349956228363	0.3543750981071165	1.07839230753244	0.3286142673977264	0.742447262655512	NA
Acinetobacter oleivorans	Acinetobacter oleivorans	1.1676091168075902	-0.04411903438339312	1.0865292127247266	-0.04060547463123822	0.9676104196335034	NA
Acinetobacter pittii	Acinetobacter pittii	1.6009595943859773	0.7442571501842792	1.0840489524517423	0.6865530827745628	0.4923644026109164	NA
Acinetobacter radioresistens	Acinetobacter radioresistens	2.163842194691728	0.8170741814010776	1.1992083568562069	0.6813446360089452	0.4956534458390379	0.6236909865556933
Acinetobacter schindleri	Acinetobacter schindleri	3.9075153500028263	0.9079656159771724	1.2320628106565596	0.7369475063477668	0.4611542726527475	0.618671251259302
Acinetobacter soli	Acinetobacter soli	1.2094368640083384	0.08138477272335982	1.0795825171410631	0.07538541188947924	0.9399080658061709	NA
Acinetobacter sp. 185	Acinetobacter sp. 185	1.993503162993303	0.7812009650721442	1.1630381195232886	0.6716899059098307	0.501781128788169	0.6236909865556933
Acinetobacter sp. 323-1	Acinetobacter sp. 323-1	1.8717165035848493	0.7443978668259554	1.0898257278114458	0.6830430295684358	0.4945796528717147	0.6236909865556933
Acinetobacter sp. ACNIH1	Acinetobacter sp. ACNIH1	1.5689557714333218	0.4962647504337039	1.1051842461369699	0.44903350022255006	0.6534074904964937	NA
Acinetobacter sp. ACNIH2	Acinetobacter sp. ACNIH2	1.272862502008194	0.3543170996632039	1.0746390022465335	0.32970802187758286	0.7416205918088924	NA
Acinetobacter sp. C16S1	Acinetobacter sp. C16S1	1.152951836274738	0.14028915427302993	1.0759734001860757	0.13038347811271983	0.8962630375594728	NA
Acinetobacter sp. dk386	Acinetobacter sp. dk386	2.8138387653578953	0.9539634429562995	1.2095369329256058	0.7887013756982767	0.4302865636851705	0.6141596560853811
Acinetobacter sp. DUT-2	Acinetobacter sp. DUT-2	1.1607652607650545	0.2512985488624663	1.0743869350851065	0.23389948318997372	0.815063014438804	NA
Acinetobacter sp. FDAARGOS_493	Acinetobacter sp. FDAARGOS_493	1.0805462540763484	0.08135343055886415	1.075801551929525	0.07562122439120032	0.9397204501900766	NA
Acinetobacter sp. FDAARGOS_560	Acinetobacter sp. FDAARGOS_560	1.0646887529993283	-0.044120974446169976	1.0790330052516368	-0.040889365043917915	0.9673840958236579	NA
Acinetobacter sp. LoGeW2-3	Acinetobacter sp. LoGeW2-3	1.4720070429172258	0.3544610516946489	1.0796235982877465	0.32831910330305347	0.7426704016603267	NA
Acinetobacter sp. NCu2D-2	Acinetobacter sp. NCu2D-2	1.2799856734131847	0.2511892803650179	1.0890146958928144	0.23065738351591636	0.8175809837938127	NA
Acinetobacter sp. NEB149	Acinetobacter sp. NEB149	1.504177303289946	0.7436885392190936	1.105507303897778	0.6727124611452224	0.5011302383604106	NA
Acinetobacter sp. SWBY1	Acinetobacter sp. SWBY1	1.1685155014386854	0.35437260146503446	1.0716258956340081	0.3306868590137758	0.7408810293730982	NA
Acinetobacter sp. TGL-Y2	Acinetobacter sp. TGL-Y2	1.478614742223881	0.30362371576095226	1.084586630163798	0.279944180867413	0.7795203303640157	NA
Acinetobacter sp. TTH0-4	Acinetobacter sp. TTH0-4	2.90790875977131	1.2211089088224578	1.2364673782015714	0.9875787508430248	0.3233589972578043	0.6090232226329966
Acinetobacter sp. WCHA45	Acinetobacter sp. WCHA45	2.0902911326573186	0.9876346659850125	1.2181807918183125	0.8107455581456211	0.4175118046990956	0.6090232226329966
Acinetobacter sp. WCHA55	Acinetobacter sp. WCHA55	1.7064228562423391	0.852967838621926	1.1562980820094229	0.7376712388380274	0.4607142536484978	NA
Acinetobacter sp. WCHAc010034	Acinetobacter sp. WCHAc010034	1.9690504503218718	0.705322055807656	1.125907368212752	0.626447677420633	0.5310213456941157	0.6371734467814129
Acinetobacter sp. WCHAc010052	Acinetobacter sp. WCHAc010052	1.080799978127807	0.0814072463791364	1.0758099316310519	0.07567065890134853	0.9396811198489715	NA
Acinetobacter tandoii	Acinetobacter tandoii	1.1367800533369223	0.08133601783936706	1.0771286776180855	0.0755118859329137	0.9398074409310954	NA
Acinetobacter towneri	Acinetobacter towneri	1.3063657197790155	0.583941618394116	1.0714722330762194	0.5449899683518696	0.5857604170760387	NA
Acinetobacter ursingii	Acinetobacter ursingii	9.46794469732469	3.9673689041076674	1.83765207447279	2.1589336519242246	0.030855314657510853	0.30231200329053576
Acinetobacter venetianus	Acinetobacter venetianus	1.313382375582136	0.35432447616143325	1.0768029854284074	0.329052278788459	0.7421161734322432	NA
Acinetobacter wuhouensis	Acinetobacter wuhouensis	1.7751501754056862	1.0498146242166801	1.0842210729566566	0.9682662054832134	0.33291143788918054	NA
Actinoalloteichus hoggarensis	Actinoalloteichus hoggarensis	1.088484350379242	0.02002222152704249	1.0776409060030838	0.018579678458294523	0.9851764142796482	NA
Actinoalloteichus hymeniacidonis	Actinoalloteichus hymeniacidonis	1.160357477909111	0.14029254948114145	1.0760998457428559	0.1303713126957047	0.8962726620098059	NA
Actinobacillus delphinicola	Actinobacillus delphinicola	1.1042054417614335	0.020006487344198912	1.078065563368244	0.018557764967180503	0.9851938957018466	NA
Actinobacillus indolicus	Actinobacillus indolicus	1.1777024290222378	0.40361448637168185	1.0739289605791402	0.3758297812864863	0.7070434459325345	NA
Actinobacillus lignieresii	Actinobacillus lignieresii	1.0727781162921133	-0.04412096652275578	1.0792099501722316	-0.04088265357052582	0.9673894463306586	NA
Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	1.464158194281046	0.5404503722073967	1.077148829807418	0.5017415952668518	0.6158493012373105	NA
Actinobacillus porcitonsillarum	Actinobacillus porcitonsillarum	1.2017492766743931	0.25140076889114715	1.074167242742445	0.23404248322570192	0.814951997552771	NA
Actinobacillus succinogenes	Actinobacillus succinogenes	1.1047985518756365	0.019996471660296798	1.078002221407268	0.018549564428719443	0.9852004376587813	NA
Actinobacillus suis	Actinobacillus suis	1.105531846283446	0.2514678072541016	1.072665117536482	0.23443272568761334	0.8146490549805732	NA
Actinobacteria bacterium IMCC19121	Actinobacteria bacterium IMCC19121	1.0806407503644524	-0.04412088415444782	1.0793784328842633	-0.04087619579034029	0.9673945945902692	NA
Actinobacteria bacterium IMCC26077	Actinobacteria bacterium IMCC26077	1.3061133703904508	0.08131609033111503	1.099331713737371	0.07396865688033934	0.9410353251036028	NA
Actinobacteria bacterium IMCC26256	Actinobacteria bacterium IMCC26256	3.8562199292520662	1.6797662960935478	1.3439787427269398	1.2498458812564945	0.21135585205190643	0.5950749480807963
Actinobacteria bacterium YIM 96077	Actinobacteria bacterium YIM 96077	1.7834791617165866	0.30322645000813464	1.1221842425203217	0.27021093196525037	0.7869979829237457	NA
Actinobaculum sp. 313	Actinobaculum sp. 313	1.2404149132425324	0.020005419049329985	1.0816562784553092	0.01849517212427159	0.9852438289947738	NA
Actinomadura amylolytica	Actinomadura amylolytica	1.518908898476062	0.14034897967754018	1.1387645245213023	0.12324670874036762	0.9019117392552592	NA
Actinomadura sp. WMMA1423	Actinomadura sp. WMMA1423	1.32940205601071	0.25131750605276737	1.0782986262495156	0.2330685581292887	0.8157081695931949	NA
Actinomadura sp. WMMB499	Actinomadura sp. WMMB499	1.2328129198874427	0.251272932905105	1.0747297039743315	0.2338010496740735	0.8151394346364422	NA
Actinomyces gaoshouyii	Actinomyces gaoshouyii	1.209753037686453	0.08137852301678845	1.079697346565809	0.07537160601128542	0.9399190500530569	NA
Actinomyces howellii	Actinomyces howellii	1.5500084512966723	0.6256669565743826	1.2043503378088052	0.5195057757967013	0.6034080862160511	NA
Actinomyces israelii	Actinomyces israelii	1.3718156980971459	0.2512559541950293	1.085331732809145	0.23150152768933413	0.8169251987465176	NA
Actinomyces naeslundii	Actinomyces naeslundii	3.3134534726262173	1.9495009407169774	1.3562796726567958	1.4373886006107643	0.15060760603220294	0.5705066088660414
Actinomyces oris	Actinomyces oris	3.641876741706728	2.8024922166133064	1.4030583068657196	1.997416787955	0.04577992561923867	0.406861029094924
Actinomyces pacaensis	Actinomyces pacaensis	1.6003680353039729	0.5835234601597026	1.0879286699563848	0.536361873966513	0.5917084757576103	NA
Actinomyces qiguomingii	Actinomyces qiguomingii	1.1921010747403238	0.19675535412647768	1.0777329865246423	0.18256410130022394	0.8551400538930829	NA
Actinomyces radicidentis	Actinomyces radicidentis	1.8519497163793108	1.048156542711884	1.2521148248309728	0.8371089631123713	0.4025313226873022	NA
Actinomyces slackii	Actinomyces slackii	2.133118144595789	1.138754407429122	1.2757332686370226	0.8926273504223597	0.37205676740912746	0.6090232226329966
Actinomyces sp. 2129	Actinomyces sp. 2129	1.1448593587076283	0.020006465289943435	1.0795230463837537	0.01853268937329518	0.9852138996908238	NA
Actinomyces sp. 299	Actinomyces sp. 299	1.4105926308916514	0.30383418718415456	1.0936649859251106	0.277812850456346	0.7811560261163399	NA
Actinomyces sp. 432	Actinomyces sp. 432	1.5116657909599742	0.3037614958408304	1.0888057032257243	0.27898595216841593	0.7802556054716849	NA
Actinomyces sp. Chiba101	Actinomyces sp. Chiba101	1.327963954332091	0.6254177965761257	1.0720142891494295	0.5834043472240955	0.5596211320313527	NA
Actinomyces sp. dk561	Actinomyces sp. dk561	1.1130659295403211	0.01999612246597651	1.078441187670344	0.01854169026052526	0.9852067192556726	NA
Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 171	4.735562721908736	2.7483048752764203	1.4651392865669886	1.8757976804485634	0.06068306663210099	0.4830861524648741
Actinomyces sp. oral taxon 414	Actinomyces sp. oral taxon 414	7.472835750061008	2.8935054879562294	1.748281599819094	1.6550568788550077	0.09791296075230585	0.5391293734249133
Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 848	1.5774109644519148	0.5838121393332487	1.0792979054752114	0.5409184400077178	0.5885638002657598	NA
Actinomyces sp. oral taxon 897	Actinomyces sp. oral taxon 897	2.636408144860724	1.04897318386099	1.3112150529270579	0.8000008705813292	0.423710292766855	0.6090232226329966
Actinomyces sp. Z16	Actinomyces sp. Z16	1.2079877834337978	0.14033059997083885	1.079054174281463	0.13004963357310984	0.8965271581817686	NA
Actinomyces tangfeifanii	Actinomyces tangfeifanii	1.3509329212245522	0.14016806897229342	1.0870979146308208	0.12893785103055283	0.897406825846564	NA
Actinomyces viscosus	Actinomyces viscosus	2.7344237722847495	1.7210288289122222	1.374416636862496	1.2521885887826336	0.21050115308851838	0.5950749480807963
Actinoplanes derwentensis	Actinoplanes derwentensis	2.4703829771807504	1.1374526883315146	1.207766025931176	0.9417823186858973	0.34630409941101076	0.6090232226329966
Actinoplanes friuliensis	Actinoplanes friuliensis	1.9255091969300842	0.49538681753531205	1.1589764962011926	0.4274347401858919	0.6690627084654299	0.7143461405104675
Actinoplanes missouriensis	Actinoplanes missouriensis	1.5744567951730508	0.2513007175145846	1.0886492768164817	0.23083716938613963	0.8174413039427023	NA
Actinoplanes sp. N902-109	Actinoplanes sp. N902-109	2.0141434363996567	0.6247830138190575	1.189009828194679	0.525464970098431	0.5992599987485308	0.6680796099122313
Actinoplanes sp. OR16	Actinoplanes sp. OR16	1.2630337686431214	-0.04411977280205589	1.0842342677290926	-0.04069210327991559	0.967541357052679	NA
Actinoplanes sp. SE50/110	Actinoplanes sp. SE50/110	1.1045551513121694	0.02001883328891593	1.0780707446462434	0.01856912766470152	0.9851848311428906	NA
Actinoplanes teichomyceticus	Actinoplanes teichomyceticus	1.4462969774030723	0.30373940426951374	1.0829877949101687	0.280464291192412	0.7791213180085236	NA
Actinopolymorpha singaporensis	Actinopolymorpha singaporensis	2.0193979490278076	0.5837190934402502	1.1675016709403998	0.4999728120046936	0.6170942214829964	0.6783736128149316
Actinopolyspora erythraea	Actinopolyspora erythraea	1.2406571003507176	0.08140460698111288	1.0791560455087876	0.07543358286310967	0.9398697400565583	NA
Actinosynnema mirum	Actinosynnema mirum	1.0648733324147923	-0.04412097312903799	1.079038041776338	-0.04088917296780843	0.9673842489501582	NA
Actinosynnema pretiosum	Actinosynnema pretiosum	1.2250690028233238	0.08142645977604773	1.08453238092825	0.07507978665086507	0.9401512303410449	NA
Actinotignum schaalii	Actinotignum schaalii	1.191792173698782	0.1967634696717998	1.0754935885848353	0.1829517830326694	0.8548358515341324	NA
Adlercreutzia equolifaciens	Adlercreutzia equolifaciens	1.2938440636097963	0.02000710109902149	1.0923031140921504	0.01831643693119932	0.9853864148913913	NA
Advenella kashmirensis	Advenella kashmirensis	1.1693322275221885	0.19696385544341513	1.0748150457648908	0.18325371999537468	0.854598945496295	NA
Advenella mimigardefordensis	Advenella mimigardefordensis	1.0887145496760056	0.020022368429677476	1.0777352660383661	0.018578188039886135	0.9851776032562641	NA
Aequorivita sp. H23M31	Aequorivita sp. H23M31	1.3127342703769735	-0.044119234554976704	1.0863313610386758	-0.04061305430121515	0.9676043769164672	NA
Aequorivita sublithincola	Aequorivita sublithincola	1.1529659089037034	0.08138702047675142	1.0778196491641658	0.07551079676443635	0.9398083074877457	NA
