sample	group	view	value	combi	ntotal	ptotal
GSM1385781	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM1385782	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM1385783	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM1415906	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM1415907	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM1415908	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM1415909	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM1415910	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM1415911	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM2769390	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM2769391	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM2769392	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM2769393	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM2769394	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM2769395	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM2769396	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM2769397	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM2769398	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3103956	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103957	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103958	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103959	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103960	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103961	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103962	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103963	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103964	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM3103965	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM4735796	Control	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=166	D=1307
GSM4735786	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056401	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056402	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056403	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056404	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056405	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056406	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056407	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056408	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056409	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056410	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056415	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056416	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056417	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056418	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056419	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056420	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056421	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056422	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056437	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056438	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056446	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056447	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056448	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056449	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056450	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056451	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056452	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056453	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056454	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056455	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056456	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056457	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056465	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056466	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056467	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056468	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056469	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056470	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056471	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056472	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056473	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056478	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056479	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056480	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056481	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056482	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056483	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056484	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056485	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056486	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056487	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056488	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056489	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056494	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056495	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056496	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056497	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056498	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056499	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056500	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056501	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056502	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056503	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056510	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056511	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056512	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056513	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056514	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056515	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056516	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056517	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056518	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056526	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056527	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056528	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056529	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056530	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056531	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056532	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056533	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056534	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056535	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056536	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056544	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056545	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056546	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056547	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056548	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056549	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056550	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056551	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056557	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056558	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056559	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056560	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056561	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056562	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056563	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056564	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056565	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056566	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056569	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056570	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056571	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056572	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056573	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056574	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056575	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056576	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056577	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056578	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056579	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056580	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056581	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056582	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056583	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056584	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056585	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056586	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056587	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056588	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056589	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056590	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056591	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056592	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056593	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM3056594	Control	Bacteria_Esophagus	FALSE	missing	N=166	D=1307
GSM1022684	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM1022685	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM1022686	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM1022687	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM1022688	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM1022689	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM4735798	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM4735799	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM4735800	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM4735801	GERD	Bacteria_Esophagus	TRUE	Bacteria_Esophagus	N=14	D=1307
GSM4735788	GERD	Bacteria_Esophagus	FALSE	missing	N=14	D=1307
GSM4735789	GERD	Bacteria_Esophagus	FALSE	missing	N=14	D=1307
GSM4735790	GERD	Bacteria_Esophagus	FALSE	missing	N=14	D=1307
GSM4735791	GERD	Bacteria_Esophagus	FALSE	missing	N=14	D=1307
GSM1022690	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1022691	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1022692	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1022693	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1022694	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1022695	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1385778	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1385779	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1385780	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1385781	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1385782	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1385783	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1415906	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1415907	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1415908	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1415909	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1415910	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM1415911	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM2769390	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM2769391	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM2769392	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM2769393	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM2769394	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM2769395	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM2769396	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM2769397	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM2769398	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3103956	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103957	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103958	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103959	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103960	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103961	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103962	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103963	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103964	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM3103965	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM4735796	Control	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=166	D=15
GSM4735786	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056401	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056402	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056403	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056404	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056405	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056406	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056407	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056408	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056409	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056410	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056415	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056416	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056417	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056418	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056419	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056420	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056421	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056422	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056437	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056438	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056446	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056447	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056448	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056449	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056450	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056451	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056452	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056453	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056454	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056455	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056456	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056457	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056465	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056466	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056467	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056468	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056469	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056470	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056471	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056472	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056473	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056478	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056479	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056480	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056481	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056482	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056483	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056484	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056485	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056486	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056487	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056488	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056489	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056494	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056495	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056496	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056497	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056498	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056499	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056500	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056501	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056502	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056503	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056510	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056511	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056512	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056513	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056514	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056515	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056516	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056517	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056518	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056526	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056527	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056528	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056529	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056530	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056531	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056532	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056533	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056534	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056535	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056536	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056544	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056545	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056546	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056547	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056548	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056549	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056550	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056551	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056557	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056558	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056559	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056560	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056561	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056562	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056563	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056564	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056565	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056566	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056569	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056570	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056571	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056572	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056573	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056574	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056575	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056576	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056577	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056578	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056579	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056580	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056581	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056582	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056583	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056584	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056585	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056586	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056587	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056588	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056589	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056590	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056591	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056592	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056593	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM3056594	Control	Fungi_Esophagus	FALSE	missing	N=166	D=15
GSM1022684	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM1022685	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM1022686	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM1022687	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM1022688	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM1022689	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM4735798	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM4735799	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM4735800	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM4735801	GERD	Fungi_Esophagus	TRUE	Fungi_Esophagus	N=14	D=15
GSM4735788	GERD	Fungi_Esophagus	FALSE	missing	N=14	D=15
GSM4735789	GERD	Fungi_Esophagus	FALSE	missing	N=14	D=15
GSM4735790	GERD	Fungi_Esophagus	FALSE	missing	N=14	D=15
GSM4735791	GERD	Fungi_Esophagus	FALSE	missing	N=14	D=15
GSM1022690	Control	Human_Blood	FALSE	missing	N=166	D=11096
